Oct 31 15:31:35 node1 systemd[12098]: mysqld_exporter.service: Failed to execute command: No such file or directory
Oct 31 15:31:35 node1 systemd[12098]: mysqld_exporter.service: Failed at step EXEC spawning /opt/mysqld_exporter/mysqld_exporter: No such file or directory
Oct 31 15:57:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:57:55.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:58:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:58:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:58:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:58:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:58:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:58:40.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:58:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:58:55.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:59:10 node1 mysqld_exporter[12169]: ts=2022-10-31T15:59:10.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:59:25 node1 mysqld_exporter[12169]: ts=2022-10-31T15:59:25.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:59:40 node1 mysqld_exporter[12169]: ts=2022-10-31T15:59:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 15:59:55 node1 mysqld_exporter[12169]: ts=2022-10-31T15:59:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:00:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:00:10.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:00:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:00:25.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:00:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:00:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:00:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:00:55.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:01:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:01:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:01:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:01:25.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:01:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:01:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:01:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:01:55.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:02:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:02:10.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:02:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:02:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:02:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:02:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:02:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:02:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:03:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:03:10.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:03:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:03:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:03:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:03:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:03:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:03:55.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:04:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:04:10.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:04:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:04:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:04:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:04:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:04:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:04:55.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:05:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:05:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:05:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:05:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:05:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:05:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:05:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:05:55.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:06:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:06:10.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:06:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:06:25.980Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:06:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:06:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:06:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:06:55.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:07:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:07:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:07:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:07:25.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:07:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:07:40.977Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:07:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:07:55.977Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:08:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:08:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:08:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:08:25.989Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:08:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:08:40.975Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:08:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:08:55.976Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:09:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:09:10.978Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:09:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:09:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:09:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:09:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:09:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:09:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:10:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:10:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:10:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:10:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:10:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:10:40.977Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:10:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:10:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:11:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:11:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:11:25 node1 mysqld_exporter[12169]: ts=2022-10-31T16:11:25.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:11:40 node1 mysqld_exporter[12169]: ts=2022-10-31T16:11:40.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:11:55 node1 mysqld_exporter[12169]: ts=2022-10-31T16:11:55.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
Oct 31 16:12:10 node1 mysqld_exporter[12169]: ts=2022-10-31T16:12:10.974Z caller=exporter.go:149 level=error msg="Error pinging mysqld" err="dial tcp 127.0.0.1:3306: connect: connection refused"
